Category,Age Class,Age DR,Age Chi-Square,Body Class,Body DR,Body Chi-Square,Gender Class,Gender DR,Gender Chi-Square,Hair Class,Hair DR,Hair Chi-Square,Race Class,Race DR,Race Chi-Square,Validage Class,Validage DR,Validage Chi-Square,Validbody Class,Validbody DR,Validbody Chi-Square,Validgender Class,Validgender DR,Validgender Chi-Square,Validhair Class,Validhair DR,Validhair Chi-Square,Validrace Class,Validrace DR,Validrace Chi-Square
Biking,kid,0.11380597014925373,58.298507462686565,wide_and_short,0.31840796019900497,233.20895522388065,male,0.373134328358209,32.507462686567166,brown,0.06567164179104477,52.417910447761194,black,0.05845771144278607,68.56716417910448,kid,0.17412935323383086,39.462686567164184,wide_and_short,1.0,0.0,male,0.3805970149253731,36.56716417910448,brown,0.12686567164179105,1.8955223880597016,black,0.09701492537313433,24.74626865671642
Billiards,kid,0.17333333333333334,159.06666666666666,wide_and_short,0.3233333333333333,12.906666666666666,male,0.49333333333333335,142.10666666666665,blonde,0.12266666666666666,169.13333333333333,white,0.13444444444444445,444.40000000000003,kid,0.2822222222222222,177.96,wide_and_short,0.3566666666666667,27.30666666666667,male,1.0,0.0,blonde,0.2688888888888889,154.12,white,0.225,338.05333333333334
BlowDryHair,young,0.4847328244274809,115.4885496183206,wide_and_tall,0.10305343511450382,29.213740458015266,female,0.45038167938931295,84.16030534351145,black,0.07480916030534351,62.396946564885496,mexican,0.06870229007633588,30.48854961832061,young,1.0,0.0,thin_and_tall,0.10877862595419847,40.57251908396947,female,0.4541984732824427,87.3969465648855,black,0.0732824427480916,58.88549618320611,mexican,0.06870229007633588,36.29007633587786
BlowingCandles,kid,0.21406727828746178,52.862385321100916,wide_and_short,0.2324159021406728,76.5321100917431,female,0.3256880733944954,9.990825688073395,brown,0.05198776758409786,51.01834862385321,white,0.08409785932721713,116.41284403669722,kid,0.2691131498470948,112.5321100917431,wide_and_short,0.3165137614678899,7.715596330275229,female,0.39908256880733944,38.76146788990825,black,0.12155963302752294,34.669724770642205,white,0.08807339449541285,80.40366972477064
BodyWeightSquats,young,0.13169642857142858,58.92857142857143,thin_and_short,0.13839285714285715,63.21428571428572,male,0.40625,43.75,red,0.05357142857142857,51.285714285714285,white,0.1375,182.28571428571433,young,0.16071428571428573,13.785714285714285,thin_and_short,0.15625,89.21428571428572,male,0.4107142857142857,46.285714285714285,red,0.060714285714285714,27.375,white,0.23511904761904762,78.125
Bowling,old,0.12419354838709677,69.12903225806453,wide_and_short,0.27741935483870966,174.59354838709683,male,0.26129032258064516,0.3161290322580645,brown,0.08903225806451613,109.87096774193549,black,0.07956989247311828,129.01290322580647,old,0.22365591397849463,84.63225806451614,wide_and_short,0.2924731182795699,206.72258064516137,male,0.27419354838709675,1.4516129032258065,brown,0.11774193548387096,114.29032258064515,black,0.11741935483870967,149.67741935483872
BoxingPunchingBag,kid,0.17791411042944785,209.09815950920245,thin_and_short,0.1579754601226994,141.95705521472394,male,0.4110429447852761,67.63803680981596,black,0.07116564417177915,63.71779141104294,white,0.10122699386503067,21.466257668711656,kid,0.3496932515337423,25.920245398773005,thin_and_short,0.1579754601226994,140.68098159509202,male,0.41411042944785276,70.23926380368098,black,0.1058282208588957,33.58895705521472,white,0.09662576687116564,17.245398773006134
BoxingSpeedBag,kid,0.13619402985074627,87.19402985074626,thin_and_tall,0.15858208955223882,125.22388059701491,male,0.44029850746268656,77.64179104477611,red,0.05099502487562189,40.80597014925374,white,0.08955223880597014,70.85074626865674,kid,0.15485074626865672,119.25373134328359,thin_and_tall,0.21144278606965175,73.44776119402985,male,0.45149253731343286,87.04477611940298,red,0.049253731343283584,8.611940298507463,white,0.12313432835820895,51.37313432835821
BreastStroke,kid,0.2103960396039604,191.23762376237627,thin_and_short,0.31683168316831684,173.12871287128715,female,0.42574257425742573,49.91089108910891,red,0.12277227722772277,130.93069306930693,indian,0.04785478547854786,30.584158415841586,kid,0.4801980198019802,85.63366336633663,thin_and_short,1.0,0.0,female,0.4603960396039604,71.53465346534654,red,0.15841584158415842,93.89108910891089,indian,0.07326732673267326,38.05940594059406
BrushingTeeth,young,0.20865139949109415,64.50381679389314,wide_and_short,0.17748091603053434,152.32824427480915,female,0.3282442748091603,12.83206106870229,brown,0.0916030534351145,23.534351145038165,white,0.12366412213740458,146.44274809160302,young,0.2035623409669211,61.022900763358784,wide_and_short,0.16984732824427481,142.1908396946565,female,0.3244274809160305,11.610687022900763,brown,0.09541984732824428,28.786259541984734,white,0.1251908396946565,150.9465648854962
